sci.name,date,lat,lon,life.stage,bathy,SST,SSS,common.name
Chelonia mydas,2016-08-26,25.763,55.874,NA,2,28.13,38.64,Green
Caretta caretta,2011-12-17,2.94218,57.18186,Juvenile,4719,28.7,35.44,Loggerhead
Caretta caretta,2011-12-05,0.45966,50.41557,Juvenile,5075,27.74,35.35,Loggerhead
Caretta caretta,2012-03-13,9.24487,50.72126,Juvenile,34,26.21,35.65,Loggerhead
Caretta caretta,2011-12-09,0.96725,55.64975,Juvenile,4612,28.58,35.35,Loggerhead
Chelonia mydas,2018-12-05,24.631,53.016,NA,6,27.91,38.67,Green
Chelonia mydas,2019-05-26,24.648,53.049,NA,2,27.91,38.67,Green
Chelonia mydas,2018-04-20,24.298,52.4,NA,17,27.76,38.05,Green
Caretta caretta,2011-11-09,-0.12311,44.93569,Juvenile,3550,27.17,35.35,Loggerhead
Chelonia mydas,2016-09-21,24.121,52.476,NA,2,27.79,38.08,Green
Chelonia mydas,2019-07-01,24.618,53.031,NA,2,27.91,38.67,Green
Caretta caretta,2012-04-05,15.81181,55.56103,Juvenile,3479,26.92,36.1,Loggerhead
Chelonia mydas,2019-09-01,24.344,53,NA,6,27.96,38.59,Green
Chelonia mydas,2018-04-17,24.542,53.065,NA,3,27.93,38.65,Green
Chelonia mydas,2017-05-08,24.371,53.219,NA,2,28,38.67,Green
Chelonia mydas,2016-11-02,24.097,53.69,NA,31,27.98,38.77,Green
Chelonia mydas,2016-07-29,25.774,55.822,NA,5,28.14,38.7,Green
Caretta caretta,2011-02-25,14.56973,53.27773,Juvenile,2108,26.9,36.05,Loggerhead
Caretta caretta,2011-03-25,13.24946,51.23245,Juvenile,3343,27.79,36.03,Loggerhead
Chelonia mydas,2019-06-28,24.669,53.08,NA,6,27.91,38.69,Green
Caretta caretta,2011-07-11,7.59844,60.30812,Juvenile,2610,28.46,35.83,Loggerhead
Chelonia mydas,2017-08-16,25.178,53.127,NA,19,27.86,38.61,Green
Caretta caretta,2011-12-03,1.39469,54.63743,Juvenile,4986,28.4,35.36,Loggerhead
